zip,county_name
06390,SUFFOLK
10001,NEW YORK
10002,NEW YORK
10003,NEW YORK
10004,NEW YORK
10005,NEW YORK
10006,NEW YORK
10007,NEW YORK
10009,NEW YORK
10010,NEW YORK
10011,NEW YORK
10012,NEW YORK
10013,NEW YORK
10014,NEW YORK
10016,NEW YORK
10017,NEW YORK
10018,NEW YORK
10019,NEW YORK
10020,NEW YORK
10021,NEW YORK
10022,NEW YORK
10023,NEW YORK
10024,NEW YORK
10025,NEW YORK
10026,NEW YORK
10027,NEW YORK
10028,NEW YORK
10029,NEW YORK
10030,NEW YORK
10031,NEW YORK
10032,NEW YORK
10033,NEW YORK
10034,NEW YORK
10035,NEW YORK
10036,NEW YORK
10037,NEW YORK
10038,NEW YORK
10039,NEW YORK
10040,NEW YORK
10044,NEW YORK
10065,NEW YORK
10069,NEW YORK
10075,NEW YORK
10103,NEW YORK
10110,NEW YORK
10111,NEW YORK
10112,NEW YORK
10115,NEW YORK
10119,NEW YORK
10128,NEW YORK
10152,NEW YORK
10153,NEW YORK
10154,NEW YORK
10162,NEW YORK
10165,NEW YORK
10167,NEW YORK
10168,NEW YORK
10169,NEW YORK
10170,NEW YORK
10171,NEW YORK
10172,NEW YORK
10173,NEW YORK
10174,NEW YORK
10177,NEW YORK
10199,NEW YORK
10271,NEW YORK
10278,NEW YORK
10279,NEW YORK
10280,NEW YORK
10282,NEW YORK
10301,RICHMOND
10302,RICHMOND
10303,RICHMOND
10304,RICHMOND
10305,RICHMOND
10306,RICHMOND
10307,RICHMOND
10308,RICHMOND
10309,RICHMOND
10310,RICHMOND
10311,RICHMOND
10312,RICHMOND
10314,RICHMOND
10451,BRONX
10452,BRONX
10453,BRONX
10454,BRONX
10455,BRONX
10456,BRONX
10457,BRONX
10458,BRONX
10459,BRONX
10460,BRONX
10461,BRONX
10462,BRONX
10463,BRONX
10464,BRONX
10465,BRONX
10466,BRONX
10467,BRONX
10468,BRONX
10469,BRONX
10470,BRONX
10471,BRONX
10472,BRONX
10473,BRONX
10474,BRONX
10475,BRONX
10501,WESTCHESTER
10502,WESTCHESTER
10503,WESTCHESTER
10504,WESTCHESTER
10505,WESTCHESTER
10506,WESTCHESTER
10507,WESTCHESTER
10509,PUTNAM
10510,WESTCHESTER
10511,WESTCHESTER
10512,PUTNAM
10514,WESTCHESTER
10516,PUTNAM
10517,WESTCHESTER
10518,WESTCHESTER
10519,WESTCHESTER
10520,WESTCHESTER
10522,WESTCHESTER
10523,WESTCHESTER
10524,PUTNAM
10526,WESTCHESTER
10527,WESTCHESTER
10528,WESTCHESTER
10530,WESTCHESTER
10532,WESTCHESTER
10533,WESTCHESTER
10535,WESTCHESTER
10536,WESTCHESTER
10537,PUTNAM
10538,WESTCHESTER
10541,PUTNAM
10543,WESTCHESTER
10545,WESTCHESTER
10546,WESTCHESTER
10547,WESTCHESTER
10548,WESTCHESTER
10549,WESTCHESTER
10550,WESTCHESTER
10552,WESTCHESTER
10553,WESTCHESTER
10560,WESTCHESTER
10562,WESTCHESTER
10566,WESTCHESTER
10567,WESTCHESTER
10570,WESTCHESTER
10573,WESTCHESTER
10576,WESTCHESTER
10577,WESTCHESTER
10578,WESTCHESTER
